workclass,education,age,gender
 Self-emp-not-inc, Some-college,77, Male
 Private, 5th-6th,22, Female
 Private, Some-college,29, Female
 Private, HS-grad,62, Female
 Self-emp-not-inc, HS-grad,39, Male
 Private, Some-college,43, Male
 Private, HS-grad,35, Male
 Private, 11th,29, Female
 Self-emp-not-inc, Masters,76, Male
 Self-emp-not-inc, HS-grad,63, Male
 ?, Assoc-voc,23, Female
 Private, Some-college,43, Female
 Self-emp-not-inc, HS-grad,58, Male
 Private, HS-grad,66, Male
 Private, Some-college,41, Male
 Private, Bachelors,26, Male
 Private, Assoc-voc,47, Male
 Local-gov, 10th,55, Male
 Private, HS-grad,53, Male
 Private, 5th-6th,17, Male
 Private, HS-grad,30, Male
 Private, Masters,49, Male
 Private, HS-grad,19, Male
 Private, HS-grad,45, Male
 Private, Assoc-acdm,26, Male
 Private, Assoc-voc,38, Male
 State-gov, HS-grad,36, Male
 Private, HS-grad,33, Male
 State-gov, Some-college,22, Female
 Self-emp-not-inc, Bachelors,43, Male
 ?, 11th,67, Male
 ?, Assoc-voc,30, Female
 Private, Assoc-acdm,56, Male
 Private, Bachelors,31, Male
 Private, Bachelors,33, Male
 Private, HS-grad,26, Male
 Private, Bachelors,33, Male
 Local-gov, 11th,46, Male
 ?, Bachelors,59, Male
 Federal-gov, HS-grad,38, Male
 Private, 11th,65, Male
 Private, Assoc-voc,40, Male
 Private, HS-grad,42, Female
 Self-emp-not-inc, 9th,26, Male
 Private, 10th,36, Female
 Private, Masters,62, Male
 Private, Bachelors,43, Male
 Private, Bachelors,43, Male
 Private, HS-grad,22, Male
 Private, HS-grad,28, Male
 Self-emp-not-inc, Some-college,56, Male
 Private, Assoc-acdm,22, Female
 Private, Bachelors,57, Female
 Private, HS-grad,39, Female
 Federal-gov, Some-college,26, Female
 Private, 11th,17, Male
 State-gov, Assoc-voc,40, Male
 Private, HS-grad,45, Male
 Private, HS-grad,44, Male
 Local-gov, Some-college,20, Female
 Private, HS-grad,33, Female
 Private, Some-college,23, Male
 Self-emp-not-inc, Masters,46, Male
 Private, HS-grad,38, Male
 Private, HS-grad,54, Male
 Private, 5th-6th,46, Female
 Private, Some-college,25, Male
 Private, Some-college,46, Female
 Local-gov, Some-college,36, Female
 Private, HS-grad,23, Female
 Private, HS-grad,29, Male
 Private, Some-college,44, Female
 Private, Some-college,19, Female
 Private, HS-grad,19, Female
 Private, HS-grad,35, Female
 Private, Bachelors,27, Male
 Self-emp-not-inc, Assoc-acdm,46, Male
 State-gov, Bachelors,34, Male
 Private, HS-grad,34, Female
 Private, Some-college,44, Male
 Private, Some-college,45, Female
 ?, HS-grad,20, Female
 Private, Bachelors,25, Male
 Self-emp-inc, Bachelors,52, Male
 Private, Some-college,20, Male
 Private, Some-college,28, Female
 State-gov, Bachelors,50, Male
 Private, Assoc-voc,34, Female
 Private, 7th-8th,28, Male
 Private, Masters,41, Male
 Private, HS-grad,28, Male
 Self-emp-not-inc, HS-grad,46, Male
 ?, Some-college,28, Female
 Private, Some-college,32, Male
 Local-gov, Some-college,41, Female
 Private, HS-grad,24, Female
 Private, Some-college,33, Female
 Private, Doctorate,46, Male
 State-gov, Some-college,31, Male
 Private, 12th,35, Male
 Private, 1st-4th,52, Male
 Private, 11th,30, Female
 Local-gov, 11th,34, Male
 State-gov, HS-grad,34, Female
 Private, Some-college,20, Male
 Private, 11th,17, Male
 State-gov, Bachelors,32, Female
 Private, HS-grad,29, Male
 Private, 10th,33, Female
 Private, HS-grad,25, Male
 Federal-gov, Masters,36, Male
 Private, HS-grad,23, Male
 Self-emp-inc, HS-grad,63, Male
 Local-gov, Masters,47, Male
 ?, HS-grad,80, Male
 ?, 11th,17, Male
 Self-emp-not-inc, Bachelors,40, Female
 Private, Assoc-acdm,30, Female
 Private, Some-college,27, Male
 Private, Masters,33, Male
 Local-gov, HS-grad,34, Male
 Local-gov, Some-college,34, Female
 Private, Some-college,23, Male
 Local-gov, Some-college,42, Female
 Private, Bachelors,29, Male
 Private, HS-grad,45, Female
 Federal-gov, HS-grad,24, Male
 Private, Some-college,44, Male
 Private, 9th,27, Male
 Private, Some-college,20, Male
 Private, HS-grad,44, Female
 Private, HS-grad,51, Male
 Private, HS-grad,20, Male
 ?, 11th,17, Female
 Private, HS-grad,19, Female
 Self-emp-inc, Some-college,45, Male
 Private, HS-grad,60, Male
 Private, Assoc-acdm,42, Male
 Self-emp-not-inc, HS-grad,44, Female
 Private, Assoc-voc,40, Male
 Private, HS-grad,30, Female
 Private, Some-college,38, Male
 Private, HS-grad,23, Male
 ?, Some-college,32, Male
 Private, Assoc-acdm,44, Male
 Local-gov, HS-grad,54, Male
 Private, Bachelors,32, Male
 Private, 1st-4th,50, Male
 Private, Bachelors,24, Female
 Private, HS-grad,37, Female
 Private, HS-grad,52, Male
 Private, Some-college,38, Male
 Private, Masters,49, Male
 Private, Bachelors,30, Female
 Private, Some-college,60, Male
 ?, Some-college,22, Male
 Private, HS-grad,35, Male
 Private, HS-grad,30, Male
 Private, Assoc-voc,67, Female
 Private, Bachelors,46, Female
 Private, 9th,17, Male
 Private, Some-college,22, Male
 Private, 10th,27, Male
 Private, HS-grad,23, Female
 Private, Assoc-acdm,33, Male
 Self-emp-not-inc, Some-college,43, Male
 State-gov, Bachelors,28, Male
 Private, HS-grad,41, Female
 ?, 12th,52, Male
 Private, Some-college,25, Female
 ?, 1st-4th,63, Male
 Local-gov, HS-grad,59, Male
 Local-gov, Bachelors,45, Female
 Private, Bachelors,38, Male
 Private, HS-grad,40, Female
 Federal-gov, HS-grad,46, Male
 Private, Assoc-acdm,35, Female
 Private, HS-grad,34, Female
 Private, Bachelors,33, Male
 Private, HS-grad,41, Female
 Private, Some-college,20, Male
 Private, 5th-6th,23, Male
 Private, Some-college,26, Female
 ?, HS-grad,72, Male
 Local-gov, HS-grad,23, Male
 Local-gov, HS-grad,62, Male
 Private, Some-college,52, Male
 Private, Some-college,58, Female
 Private, Bachelors,25, Female
 Private, Bachelors,24, Male
 Private, Some-college,19, Male
 Private, Some-college,43, Male
 Local-gov, HS-grad,47, Female
 Private, HS-grad,39, Female
 Private, Assoc-voc,49, Male
 ?, 5th-6th,53, Female
 Private, Assoc-voc,32, Male
 Private, Some-college,34, Male
 Private, HS-grad,28, Male
 ?, Assoc-voc,57, Female
 Private, Some-college,25, Female
 ?, Some-college,20, Male
 ?, Some-college,21, Female
 Private, Bachelors,34, Male
 Self-emp-inc, Bachelors,38, Male
 Private, HS-grad,50, Male
 Local-gov, Some-college,24, Male
 Local-gov, Some-college,37, Male
 Private, Some-college,44, Male
 Private, Some-college,28, Female
 Private, Bachelors,42, Male
 Private, Some-college,74, Female
 Self-emp-not-inc, HS-grad,38, Male
 Self-emp-not-inc, Masters,44, Male
 Private, 11th,44, Female
 Private, HS-grad,26, Male
 Private, HS-grad,36, Male
 Private, Assoc-acdm,41, Female
 Private, Prof-school,67, Male
 Local-gov, 12th,39, Male
 Private, 1st-4th,57, Female
 Private, Assoc-voc,29, Male
 Self-emp-inc, Bachelors,31, Female
 ?, HS-grad,34, Female
 Private, Some-college,44, Male
 Private, Doctorate,29, Male
 Private, Some-college,30, Female
 Private, HS-grad,27, Male
 Private, Some-college,27, Male
 Private, HS-grad,32, Female
 Private, 10th,58, Female
 Local-gov, Some-college,35, Male
 Private, HS-grad,21, Male
 Private, Some-college,28, Male
 Self-emp-not-inc, Some-college,46, Male
 Self-emp-not-inc, HS-grad,36, Female
 Private, 11th,72, Female
 Private, HS-grad,35, Female
 Federal-gov, Assoc-voc,33, Female
 Private, 11th,69, Female
 Private, HS-grad,35, Male
 Private, HS-grad,31, Female
 Private, HS-grad,34, Female
 Private, 11th,30, Male
 Private, Bachelors,28, Male
 Private, Bachelors,54, Male
 Private, Some-college,47, Male
 Private, HS-grad,24, Female
 Self-emp-not-inc, Bachelors,52, Male
 Private, HS-grad,20, Male
 Self-emp-inc, Masters,43, Male
 Private, 7th-8th,45, Female
 Self-emp-not-inc, HS-grad,29, Male
 Private, Masters,47, Male
 Private, HS-grad,24, Male
 Private, HS-grad,51, Male
 Private, 11th,17, Male
 Private, Assoc-voc,37, Male
 Private, Doctorate,27, Female
 Private, Bachelors,29, Male
 ?, 12th,18, Male
 Self-emp-not-inc, Assoc-acdm,36, Female
 Local-gov, Bachelors,58, Female
 Self-emp-not-inc, Some-college,26, Male
 ?, Some-college,65, Male
 Private, HS-grad,57, Male
 Private, HS-grad,59, Male
 Private, HS-grad,27, Male
 Self-emp-not-inc, Bachelors,31, Male
 Private, Some-college,21, Female
 Private, Some-college,29, Male
 Private, 11th,18, Male
 Private, 10th,52, Male
 Self-emp-inc, Bachelors,57, Male
 ?, HS-grad,42, Male
 ?, HS-grad,55, Female
 Private, 7th-8th,60, Male
 Private, Bachelors,31, Male
 Private, Bachelors,23, Female
 Private, HS-grad,27, Male
 ?, Some-college,23, Female
 Self-emp-not-inc, Prof-school,42, Male
 Private, Some-college,25, Male
 Private, Bachelors,49, Female
 Private, Bachelors,32, Male
 Private, Some-college,19, Male
 Private, 7th-8th,60, Female
 Local-gov, 9th,42, Male
 Self-emp-not-inc, Assoc-acdm,35, Male
 Private, HS-grad,48, Female
 Private, Masters,51, Male
 Private, HS-grad,29, Male
 Local-gov, HS-grad,36, Male
 Private, 10th,17, Female
 Private, Masters,52, Female
 Private, HS-grad,24, Male
 Private, HS-grad,24, Male
 Local-gov, Bachelors,26, Male
 Private, Bachelors,27, Female
 Private, HS-grad,39, Male
 Private, HS-grad,30, Male
 Self-emp-not-inc, HS-grad,50, Male
 Self-emp-inc, Bachelors,52, Male
 Private, Prof-school,46, Male
 Private, Bachelors,23, Female
 Private, 11th,45, Female
 Private, 9th,65, Female
 Private, Assoc-voc,29, Male
 Private, 9th,47, Male
 Private, HS-grad,30, Male
 Private, HS-grad,34, Male
 Self-emp-not-inc, HS-grad,38, Male
 Private, Some-college,33, Male
 Private, Bachelors,49, Male
 Self-emp-not-inc, Some-college,47, Female
 Local-gov, 10th,49, Female
 Private, Some-college,43, Male
 Private, Bachelors,30, Female
 Self-emp-not-inc, HS-grad,58, Male
 Private, HS-grad,19, Female
 Private, Bachelors,21, Male
 Private, Bachelors,33, Male
 Self-emp-inc, 5th-6th,47, Male
 Self-emp-not-inc, Doctorate,52, Male
 Private, HS-grad,26, Male
 Private, HS-grad,60, Male
 Private, Some-college,21, Male
 Private, Some-college,36, Male
 Private, Some-college,31, Male
 Self-emp-inc, Doctorate,50, Male
 Local-gov, HS-grad,31, Female
 Private, HS-grad,71, Male
 ?, HS-grad,58, Male
 State-gov, Bachelors,30, Male
 Private, Some-college,20, Male
 Private, HS-grad,24, Male
 Private, Doctorate,35, Male
 State-gov, Some-college,38, Female
 Private, HS-grad,27, Female
 State-gov, Some-college,29, Female
 ?, 9th,70, Female
 Private, HS-grad,34, Male
 Private, 7th-8th,44, Male
 Private, HS-grad,43, Male
 Self-emp-not-inc, 12th,44, Male
 Private, Masters,35, Male
 Private, Some-college,27, Male
 Local-gov, Masters,43, Male
 Private, Some-college,20, Female
 Private, Assoc-acdm,42, Female
 State-gov, Some-college,27, Male
 Private, HS-grad,42, Male
 ?, 11th,20, Female
 Private, 9th,24, Male
 Federal-gov, Some-college,48, Male
 ?, 11th,17, Female
 Self-emp-not-inc, 11th,17, Male
 Private, Bachelors,33, Male
 Self-emp-inc, HS-grad,50, Male
 Private, HS-grad,22, Female
 Private, 12th,17, Male
 Private, Some-college,32, Male
 Private, HS-grad,31, Male
 Self-emp-not-inc, HS-grad,58, Male
 Local-gov, HS-grad,29, Male
 Private, Assoc-voc,37, Male
 Self-emp-not-inc, HS-grad,34, Male
 Local-gov, Some-college,23, Male
 State-gov, 11th,18, Female
 Private, HS-grad,34, Female
 ?, 7th-8th,66, Male
 Local-gov, Bachelors,45, Female
 Private, Masters,41, Male
 Private, HS-grad,26, Male
 Local-gov, Some-college,54, Male
 Private, Some-college,24, Female
 Private, Some-college,42, Male
 Private, Some-college,20, Male
 State-gov, Bachelors,23, Female
 ?, Assoc-acdm,25, Male
 Private, Masters,35, Male
 Private, Masters,31, Male
 Private, Bachelors,30, Female
 Private, HS-grad,19, Female
 Local-gov, Bachelors,36, Male
 Private, Bachelors,31, Female
 Private, Some-college,21, Male
 Self-emp-not-inc, Some-college,31, Male
 Private, Doctorate,46, Female
 Private, Bachelors,44, Female
 Private, 12th,40, Male
 Private, Some-college,45, Male
 Private, HS-grad,60, Male
 Private, 11th,18, Male
 Private, Bachelors,28, Male
 Private, Some-college,36, Female
 Private, Bachelors,36, Male
 Private, Assoc-voc,40, Male
 Local-gov, Bachelors,36, Female
 Private, HS-grad,31, Female
 Private, HS-grad,33, Male
 State-gov, HS-grad,19, Female
 Private, Some-college,22, Female
 Private, Bachelors,34, Male
 Private, HS-grad,33, Male
 Private, HS-grad,41, Male
 Private, Bachelors,29, Male
 Local-gov, HS-grad,50, Male
 Private, Bachelors,42, Male
 Private, Bachelors,43, Male
 Private, HS-grad,44, Female
 Private, Some-college,20, Female
 Private, HS-grad,31, Male
 Self-emp-not-inc, 11th,65, Male
 Private, Some-college,23, Female
 Private, Some-college,55, Female
 Private, Assoc-voc,26, Male
 Private, Assoc-voc,25, Female
 ?, Some-college,45, Female
 Private, Some-college,35, Male
 Private, Some-college,36, Female
 State-gov, Bachelors,43, Male
 Private, HS-grad,56, Female
 Private, Bachelors,42, Male
 Private, Some-college,19, Female
 Self-emp-not-inc, HS-grad,55, Male
 Private, Masters,42, Female
 Private, Assoc-voc,26, Male
 Private, 12th,17, Male
 Local-gov, Bachelors,42, Female
 Private, HS-grad,55, Male
 Private, Some-college,32, Female
 Private, 11th,29, Male
 State-gov, Bachelors,46, Male
 State-gov, Bachelors,29, Male
 Private, Bachelors,22, Male
 Self-emp-not-inc, 10th,58, Male
 Private, HS-grad,23, Male
 Private, HS-grad,39, Male
 Private, Assoc-voc,27, Male
 Private, HS-grad,54, Male
 Local-gov, Bachelors,33, Female
 Federal-gov, HS-grad,46, Female
 Private, HS-grad,37, Male
 Private, HS-grad,36, Female
 Local-gov, HS-grad,59, Female
 Local-gov, HS-grad,34, Male
 Self-emp-inc, Doctorate,53, Male
 Private, Bachelors,51, Male
 Private, 10th,32, Female
 State-gov, Some-college,31, Male
 Private, Some-college,22, Female
 Self-emp-not-inc, Bachelors,47, Female
 Private, HS-grad,32, Male
 Private, Some-college,26, Female
 Private, 5th-6th,37, Male
 Private, HS-grad,31, Male
 Private, Assoc-voc,37, Female
 Private, HS-grad,55, Male
 Local-gov, Assoc-voc,23, Male
 Private, Some-college,36, Female
 Private, Masters,34, Male
 Private, Bachelors,43, Male
 Private, Some-college,54, Male
 State-gov, Some-college,43, Male
 Private, Assoc-voc,28, Female
 Private, Assoc-voc,40, Male
 Self-emp-not-inc, Some-college,41, Male
 Private, Bachelors,40, Female
 Private, Some-college,42, Female
 Self-emp-not-inc, HS-grad,61, Male
 Private, 12th,18, Male
 ?, HS-grad,59, Male
 ?, HS-grad,21, Female
 Private, Assoc-voc,48, Male
 Self-emp-inc, Bachelors,41, Male
 ?, Some-college,18, Male
 Private, HS-grad,23, Female
 Private, HS-grad,60, Male
 Private, Some-college,22, Male
 Private, HS-grad,61, Male
 Private, HS-grad,25, Male
 Private, Masters,46, Male
 Private, Bachelors,43, Male
 Private, Assoc-acdm,43, Male
 Private, HS-grad,24, Male
 Self-emp-not-inc, 11th,68, Male
 Private, HS-grad,31, Female
 Private, 11th,17, Female
 Private, HS-grad,32, Male
 ?, Masters,50, Male
 Private, Bachelors,33, Male
 Private, Bachelors,64, Male
 Private, HS-grad,20, Male
 Private, HS-grad,30, Female
 ?, Some-college,22, Male
 Private, Some-college,43, Male
 Private, Some-college,22, Male
 Private, 10th,17, Male
 Self-emp-not-inc, HS-grad,47, Female
 Private, Assoc-voc,41, Female
 Private, Some-college,56, Male
 Private, HS-grad,64, Male
 Private, HS-grad,47, Male
 Private, Assoc-voc,48, Male
 Private, Masters,31, Female
 Private, Assoc-voc,29, Male
 Private, HS-grad,30, Female
 Private, HS-grad,32, Male
 Private, HS-grad,57, Male
 Private, HS-grad,62, Female
 Private, HS-grad,39, Female
 Private, Some-college,43, Male
 Self-emp-inc, Bachelors,24, Male
 ?, 11th,42, Male
 Private, Some-college,53, Female
 Private, Some-college,26, Male
 Self-emp-not-inc, HS-grad,73, Male
 ?, 11th,72, Female
 Private, HS-grad,55, Male
 Private, HS-grad,25, Male
 Private, Bachelors,41, Female
 Private, Bachelors,24, Male
 Private, HS-grad,63, Male
 Private, 11th,17, Male
 Private, Some-college,35, Male
 Private, Some-college,51, Male
 Local-gov, Bachelors,62, Female
 Private, HS-grad,55, Male
 Private, Some-college,43, Male
 Local-gov, HS-grad,40, Female
 Private, Bachelors,37, Male
 Private, Bachelors,39, Male
 Private, HS-grad,31, Male
 Private, Masters,61, Female
 Private, Assoc-voc,26, Female
 Self-emp-not-inc, HS-grad,46, Male
 Private, Bachelors,26, Female
 State-gov, Doctorate,48, Male
 Private, HS-grad,34, Male
 Local-gov, HS-grad,34, Female
 Private, HS-grad,59, Male
 Private, Bachelors,34, Female
 Private, Bachelors,49, Female
 Private, 11th,18, Female
 Private, HS-grad,43, Male
 Private, 11th,48, Male
 Self-emp-inc, Some-college,28, Male
 Private, HS-grad,33, Male
 Private, Some-college,24, Female
 Private, 10th,21, Male
 Private, 11th,17, Male
 Private, Some-college,39, Male
 Self-emp-not-inc, Bachelors,29, Male
 Private, Bachelors,44, Male
 Private, Some-college,24, Male
 Self-emp-not-inc, Masters,71, Male
 Self-emp-not-inc, Bachelors,51, Male
 Private, 5th-6th,55, Male
 Private, Bachelors,41, Male
 Private, HS-grad,23, Female
 Private, Assoc-voc,38, Female
 Private, HS-grad,39, Male
